"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"487",0,0,0,0,0,0,1,NA,NA,16061.6880496388
"1554",0,0,0,0,0,0,0,NA,NA,82400.6558870677
"1263",0,0,0,0,0,0,1,1,NA,8197.32262916472
"2321",0,0,0,3,0,0,0,NA,0,38231.5100701756
"10",0,0,0,0,0,0,0,NA,NA,6008.50839114816
"2059",7,0,0,0,0,0,1,NA,0,10918.3234857818
"1854",40,0,0,0,0,0,1,NA,0,7822.73672032719
"2654",0,0,0,0,0,0,0,NA,NA,69625.7276702026
"1927",0,0,0,0,0,0,0,NA,NA,37292.18800556
"2661",0,0,0,0,0,0,0,NA,NA,116947.742501327
"364",0,0,0,0,0,0,0,NA,NA,87703.466925197
"2542",0,0,0,0,0,0,0,NA,NA,159530.778608133
"1835",0,0,0,0,0,0,0,NA,NA,48276.0635223407
"257",0,0,0,0,0,0,0,NA,NA,41958.352661996
"446",0,0,0,0,0,0,0,NA,NA,92726.3897735807
"1839",0,0,0,0,0,0,0,NA,NA,23150.5343340391
"2492",0,0,0,0,0,0,0,0,NA,31267.5010601661
"918",23,0,0,0,0,0,1,0,0,46716.9142665895
"1275",0,0,0,0,0,0,0,0,NA,10752.2270397356
"1487",0,0,0,0,0,0,0,NA,NA,11046.3398375645
"774",4,0,0,0,0,0,1,NA,NA,99169.3762724205
"690",0,0,0,0,0,0,0,NA,NA,33625.5855936839
"2104",0,0,0,0,0,0,0,NA,NA,80453.771846406
"2142",0,0,0,0,0,0,0,NA,0,56129.5677426052
"1946",20,0,0,0,0,0,1,NA,0,7960.47518629671
"1429",15,0,0,0,0,0,0,0,0,6279.35975031042
"2392",0,0,0,0,0,0,0,0,NA,9939.47833057836
"1536",0,0,0,0,0,0,0,0,NA,11399.117661616
"1868",0,0,0,0,0,0,0,NA,NA,9427.02055879817
"127",0,0,0,38,0,0,1,NA,0,5541.37319557254
"811",0,0,0,0,0,0,1,1,NA,10930.4424720044
"2072",0,0,0,0,0,0,0,NA,NA,10531.9837424629
"1551",135,0,0,0,0,0,1,NA,0,15866.5002951723
"2425",0,0,0,0,0,0,0,NA,NA,49944.0879407732
"1817",35,0,0,0,0,0,0,NA,1,10171.0512941092
"396",0,0,0,0,0,0,0,NA,NA,45423.5224754015
"1686",0,0,0,0,3,0,0,NA,0,8332.32080106236
"2146",25,0,0,0,0,0,0,NA,0,26292.2776786285
"2413",0,0,0,0,0,0,0,NA,NA,44433.4822341572
"1249",0,0,0,0,0,10,1,NA,1,7135.58643539125
"2099",0,0,0,0,0,0,0,NA,NA,26668.7154103216
"1304",45,0,0,0,0,0,0,NA,0,22173.3573025524
"1285",0,0,0,0,0,0,0,NA,NA,28610.9378662354
"2539",0,0,0,0,0,0,0,NA,NA,74871.9890176923
"429",0,0,0,0,0,0,0,NA,NA,87602.2910096625
"358",0,0,0,0,0,0,0,NA,NA,90652.9343653188
"1386",0,0,0,0,0,0,0,NA,NA,62182.6578422904
"2565",0,0,0,0,0,0,1,NA,0,10369.2784302059
"605",0,0,0,0,0,0,0,NA,NA,95600.8931737137
"479",0,0,0,0,0,0,0,NA,NA,47400.1497782066
"1977",0,113,0,0,0,0,1,NA,0,4443.4624641868
"1790",0,0,0,2,0,0,1,0,0,31267.5010601661
"374",0,0,0,0,0,0,0,NA,NA,53625.0458352755
"1609",0,0,0,0,0,0,0,NA,NA,71082.2048849951
"351",8,0,0,0,0,0,0,NA,0,13319.7360519439
"1415",0,0,0,0,0,0,0,NA,NA,39970.8885462529
"1139",0,0,0,0,0,0,0,NA,NA,63050.2486018109
"282",0,0,0,0,0,0,0,NA,NA,9152.65762917339
"485",0,0,0,0,0,0,1,1,NA,29098.7475098972
"105",15,0,0,0,0,0,0,NA,0,7132.18629132531
"2587",0,35,0,0,0,0,0,NA,0,8948.48438376505
"867",0,0,0,0,0,0,0,NA,NA,171203.594613923
"2046",15,0,0,0,0,0,0,NA,0,9606.77856654345
"2143",0,0,0,0,0,0,0,NA,NA,186194.138295573
"1315",0,0,0,0,0,0,0,NA,NA,122504.537966104
"244",0,0,0,0,0,0,0,NA,NA,30378.2652843283
"588",0,0,0,0,0,0,0,NA,NA,48276.0635223407
