"Leave Length, Days","Percent","State Pay","Leave Type"
13,0.00860044666284919,0,"length_illparent"
14,0.00551582322949408,0,"length_illparent"
15,0.0993588674042774,0,"length_illparent"
19,0.0124161104230887,0,"length_illparent"
20,0.0181436590799258,0,"length_illparent"
22,0.0034023683886811,0,"length_illparent"
23,0.00450346897474057,0,"length_illparent"
25,0.0382596657238872,0,"length_illparent"
28,0.00545578213935704,0,"length_illparent"
30,0.057720920162806,0,"length_illparent"
40,0.00970615215470762,0,"length_illparent"
45,0.0370032979466489,0,"length_illparent"
60,0.0140296327704137,0,"length_illparent"
68,0.00756812747304465,0,"length_illparent"
261,0.0278057585061134,0,"length_illparent"
1,0.0192113248636062,0,"length_illspouse"
2,0.0417108523930807,0,"length_illspouse"
3,0.0864169810000719,0,"length_illspouse"
4,0.0397827263494319,0,"length_illspouse"
5,0.10666701263815,0,"length_illspouse"
6,0.0505727732627587,0,"length_illspouse"
7,0.036737766381854,0,"length_illspouse"
8,0.0089825380723727,0,"length_illspouse"
9,0.00889550415978463,0,"length_illspouse"
10,0.143338079070476,0,"length_illspouse"
14,0.00694148560875614,0,"length_illspouse"
15,0.0982940237193166,0,"length_illspouse"
16,0.00546758049780588,0,"length_illspouse"
20,0.118468648357587,0,"length_illspouse"
21,0.0150833415885885,0,"length_illspouse"
23,0.0636823151955253,0,"length_illspouse"
25,0.0426843461078045,0,"length_illspouse"
30,0.00579578356305431,0,"length_illspouse"
40,0.00815843528493459,0,"length_illspouse"
45,0.0186914637518044,0,"length_illspouse"
55,0.00602410465415225,0,"length_illspouse"
68,0.0294695136549891,0,"length_illspouse"
90,0.0118579166376911,0,"length_illspouse"
135,0.0214996035553753,0,"length_illspouse"
203,0.00556587963102892,0,"length_illspouse"
2,0.0106492561080519,1,"length_own"
5,0.0380368028467525,1,"length_own"
6,0.0164983881856626,1,"length_own"
10,0.0246070224719672,1,"length_own"
12,0.0198264926166623,1,"length_own"
15,0.0783335167080736,1,"length_own"
19,0.0146767943376432,1,"length_own"
20,0.0569097223183017,1,"length_own"
23,0.0300945217516184,1,"length_own"
25,0.0116043208403874,1,"length_own"
30,0.0676669397184501,1,"length_own"
35,0.134058260807202,1,"length_own"
45,0.114181146430024,1,"length_own"
50,0.00712901668261912,1,"length_own"
55,0.0201640957402402,1,"length_own"
60,0.0195606685958148,1,"length_own"
65,0.0116627851548564,1,"length_own"
68,0.0737927043368393,1,"length_own"
90,0.101837520744691,1,"length_own"
113,0.019180785376443,1,"length_own"
135,0.0522878710846348,1,"length_own"
158,0.0310178905386969,1,"length_own"
180,0.0151520082718377,1,"length_own"
248,0.0185048777160848,1,"length_own"
261,0.0125665906164448,1,"length_own"
60,0.115979975720266,1,"length_matdis"
70,0.623863830891344,1,"length_matdis"
90,0.26015619338839,1,"length_matdis"
5,0.24238175156861,1,"length_bond"
30,0.407603786337271,1,"length_bond"
60,0.0624995915271093,1,"length_bond"
68,0.196104850482824,1,"length_bond"
90,0.091410020084186,1,"length_bond"
4,0.76800222209094,1,"length_illchild"
18,0.141042846134772,1,"length_illchild"
36,0.0909549317742883,1,"length_illchild"
1,0.148045590106927,1,"length_illparent"
3,0.129427356334707,1,"length_illparent"
5,0.464641866764126,1,"length_illparent"
10,0.0822559335775311,1,"length_illparent"
23,0.124285801563566,1,"length_illparent"
135,0.051343451653142,1,"length_illparent"
6,0.115383281832522,1,"length_illspouse"
10,0.884616718167478,1,"length_illspouse"
